,revid,parentid,user,anon,userid,timestamp,size,sha1,comment,page,date,diff,lag,age
0,240464,0,12.30.225.xxx,True,0,2001-12-15 21:46:10+00:00,2271,e655c8c7e20feb83d25017cec32d08eee713d130,*,Buffalo,2001-12-15,,,0.0
1,240465,240464,The Epopt,,30,2001-12-15 22:09:54+00:00,2761,27164baa6abb807c7f20e5dc1323c43503a79348,added a stub about buffalo,Buffalo,2001-12-15,490.0,1424.0,0.016481481481481482
2,240466,240465,The Epopt,,30,2001-12-15 22:10:27+00:00,2762,32c20c60c410376c96d9b1da4570f477483d2d77,*,Buffalo,2001-12-15,1.0,33.0,0.016863425925925928
3,240467,240466,Paul Drye,,6,2001-12-16 01:16:17+00:00,478,0409290a0ab940c21c2bd3d75963d1b1a7d71e31,"Slice out Buffalo, New York and move to [[Buffalo, New York]]",Buffalo,2001-12-16,-2284.0,11150.0,0.14591435185185186
4,240468,240467,The Epopt,,30,2001-12-16 01:55:32+00:00,479,5703f32d66c0e61ca2391db4045514faffdef655,*,Buffalo,2001-12-16,1.0,2355.0,0.1731712962962963
5,444177188,444173571,The Epopt,,30,2001-12-17 19:08:07+00:00,472,88ae130f0a349660cdd582120305bd7e1d7fe30f,link to Anoa,Buffalo,2001-12-17,-7.0,148355.0,1.8902430555555556
6,80775,240468,Conversion script,,1226483,2002-02-25 15:43:11+00:00,476,794f2943e8e911461e3e0ed99ec9befad9fad8be,Automated conversion,Buffalo,2002-02-25,4.0,6035704.0,71.74792824074073
7,101990,80775,Bryan Derksen,,66,2002-05-28 18:48:09+00:00,475,3287bee60afe7ef459a141d55e4fc31735d5fc76,removed extraneous blank line,Buffalo,2002-05-28,-1.0,7959898.0,163.87637731481482
8,110882,101990,Toby Bartels,,1078,2002-06-21 20:15:50+00:00,467,c75d5a2f0bc53f250550eeeffc629867a393b36f,Remove link to redirect; replace when [[Water_buffalo]] is written.,Buffalo,2002-06-21,-8.0,2078861.0,187.93726851851852
9,146774,110882,64.26.98.90,True,0,2002-07-06 06:35:24+00:00,884,270151d34ef28654b163757d6915e18136d4268c,*added cities,Buffalo,2002-07-06,417.0,1246774.0,202.36752314814814
10,196443,146774,64.26.98.90,True,0,2002-08-09 09:00:14+00:00,902,85f43159487f2847961dd8cd23768112f9941862,Added Minn.,Buffalo,2002-08-09,18.0,2946290.0,236.46810185185186
11,211777,196443,217.168.172.202,True,0,2002-09-05 03:48:28+00:00,903,0dda7dbdbca48bcd66d128e82f30e2dfb30982a2,,Buffalo,2002-09-05,1.0,2314094.0,263.25159722222224
12,226393,211777,Andre Engels,,300,2002-09-11 16:10:17+00:00,907,5ace153e97721d86762b3af9ab12220f6b272994,created link for water buffalo,Buffalo,2002-09-11,4.0,562909.0,269.7667476851852
13,226400,226393,Andre Engels,,300,2002-09-18 12:30:21+00:00,790,a76a746746ba1e2011f9617c88dce98e0bd565dd,Using Bubalus as a disambiguating page,Buffalo,2002-09-18,-117.0,591604.0,276.6140162037037
14,226402,226400,Baldhur,,28358,2002-09-18 12:33:41+00:00,791,07e2bf8b6f6ac4160adc476a983cda6ba7222028,just a typo,Buffalo,2002-09-18,1.0,200.0,276.6163310185185
15,302785,226402,Baldhur,,28358,2002-09-18 12:34:12+00:00,792,5f8cc00907d7f0bfc42bcc8594d04a50d90eb47c,,Buffalo,2002-09-18,1.0,31.0,276.61668981481483
